date,day_of_week,channel,spend,revenue,roas,impressions,clicks,conversions,new_customers,ctr,cpc,cpa,aov,source_row,record_id,expected_at_reported_roas,revenue_difference,explanation
2023-01-05,Thu,Influencer,141162.91,303556.72,2.15,1145761,67672,220,140,5.91,2.09,641.65,1379.8,48,2023-01-05|Influencer,303500.26,56.46,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-05,Thu,Affiliate,422881.7,2127264.1,5.03,8030852,465443,1458,1006,5.8,0.91,290.04,1459.03,49,2023-01-05|Affiliate,2127094.95,169.15,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-05,Thu,Organic Social,317100.73,1732131.03,5.46,3364767,151828,968,387,4.51,2.09,327.58,1789.39,50,2023-01-05|Organic Social,1731369.99,761.04,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-06,Fri,Meta Ads,285506.27,673794.8,2.36,1624847,23028,995,716,1.42,12.4,286.94,677.18,51,2023-01-06|Meta Ads,673794.80,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-06,Fri,Google Search,336786.4,1111395.12,3.3,8083361,45565,727,574,0.56,7.39,463.26,1528.74,52,2023-01-06|Google Search,1111395.12,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-06,Fri,Google Display,57992.91,55093.26,0.95,1487727,43644,31,17,2.93,1.33,1870.74,1777.2,53,2023-01-06|Google Display,55093.26,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-06,Fri,YouTube,10604.73,16967.57,1.6,119932,3239,8,2,2.7,3.27,1325.59,2120.95,54,2023-01-06|YouTube,16967.57,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-06,Fri,Instagram Reels,430061.98,1105259.29,2.57,3248701,159323,1014,314,4.9,2.7,424.12,1090,55,2023-01-06|Instagram Reels,1105259.29,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-06,Fri,Email,23869.05,190713.71,7.99,112631,5995,292,204,5.32,3.98,81.74,653.13,56,2023-01-06|Email,190713.71,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-06,Fri,SMS,20590.46,116953.81,5.68,498352,16750,151,101,3.36,1.23,136.36,774.53,57,2023-01-06|SMS,116953.81,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-06,Fri,Influencer,433380.22,684740.75,1.58,5864366,281364,540,167,4.8,1.54,802.56,1268.04,58,2023-01-06|Influencer,684740.75,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-06,Fri,Affiliate,411206.26,1459782.22,3.55,2117723,51755,1596,1133,2.44,7.95,257.65,914.65,59,2023-01-06|Affiliate,1459782.22,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-06,Fri,Organic Social,261734.97,586286.33,2.24,1994327,80742,302,123,4.05,3.24,866.67,1941.35,60,2023-01-06|Organic Social,586286.33,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-07,Sat,Meta Ads,436899.66,511871.64,1.17,6608100,243236,657,249,3.68,1.8,664.99,779.1,61,2023-01-07|Meta Ads,511172.60,699.04,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-07,Sat,Google Search,194447.54,416351.07,2.14,2744646,156035,296,227,5.69,1.25,656.92,1406.59,62,2023-01-07|Google Search,416117.74,233.33,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-07,Sat,Google Display,270476.6,491726.46,1.82,5058531,132160,279,186,2.61,2.05,969.45,1762.46,63,2023-01-07|Google Display,492267.41,-540.95,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-07,Sat,YouTube,291049.41,523248.63,1.8,4249341,214556,475,261,5.05,1.36,612.74,1101.58,64,2023-01-07|YouTube,523888.94,-640.31,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-07,Sat,Instagram Reels,246343.76,726517.02,2.95,6346489,164738,911,510,2.6,1.5,270.41,797.49,65,2023-01-07|Instagram Reels,726714.09,-197.07,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-07,Sat,Email,55832.29,351877.42,6.3,1359139,64824,193,94,4.77,0.86,289.29,1823.2,66,2023-01-07|Email,351743.43,133.99,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-07,Sat,SMS,34673.95,180006.34,5.19,904552,27153,168,115,3,1.28,206.39,1071.47,67,2023-01-07|SMS,179957.80,48.54,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-07,Sat,Influencer,481376.45,1862108.52,3.87,13156581,573614,2402,1609,4.36,0.84,200.41,775.23,68,2023-01-07|Influencer,1862926.86,-818.34,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-07,Sat,Affiliate,251978.84,1582981.47,6.28,1613135,61372,794,500,3.8,4.11,317.35,1993.68,69,2023-01-07|Affiliate,1582427.12,554.35,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-07,Sat,Organic Social,276961.08,604218.29,2.18,1676061,61172,954,419,3.65,4.53,290.32,633.35,70,2023-01-07|Organic Social,603775.15,443.14,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-08,Sun,Meta Ads,280350.77,595577.18,2.12,6788130,292305,341,112,4.31,0.96,822.14,1746.56,71,2023-01-08|Meta Ads,594343.63,1233.55,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-08,Sun,Google Search,346672.94,492067.57,1.42,9021692,436813,290,191,4.84,0.79,1195.42,1696.78,72,2023-01-08|Google Search,492275.57,-208.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-08,Sun,Google Display,84603.17,135991.14,1.61,1796416,105577,100,42,5.88,0.8,846.03,1359.91,73,2023-01-08|Google Display,136211.10,-219.96,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-08,Sun,YouTube,427491.94,478192.48,1.12,11660819,160961,584,268,1.38,2.66,732.01,818.82,74,2023-01-08|YouTube,478790.97,-598.49,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-08,Sun,Instagram Reels,22056.88,39808.26,1.8,242768,13092,36,28,5.39,1.68,612.69,1105.79,75,2023-01-08|Instagram Reels,39702.38,105.88,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-08,Sun,Email,36929.32,209322.77,5.67,815825,10182,252,194,1.25,3.63,146.54,830.65,76,2023-01-08|Email,209389.24,-66.47,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-08,Sun,SMS,7904.67,52830.07,6.68,184610,3919,36,28,2.12,2.02,219.57,1467.5,77,2023-01-08|SMS,52803.20,26.87,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-08,Sun,Influencer,444290.54,1307191.63,2.94,9539209,383686,1598,1070,4.02,1.16,278.03,818.02,78,2023-01-08|Influencer,1306214.19,977.44,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-08,Sun,Affiliate,499486.75,2483747.81,4.97,7404006,338841,1316,947,4.58,1.47,379.55,1887.35,79,2023-01-08|Affiliate,2482449.15,1298.66,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-08,Sun,Organic Social,479698.55,2155381.52,4.49,8073604,164280,4038,2422,2.03,2.92,118.8,533.77,80,2023-01-08|Organic Social,2153846.49,1535.03,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-09,Mon,Meta Ads,46143.67,198671.57,4.31,196338,2854,313,187,1.45,16.17,147.42,634.73,81,2023-01-09|Meta Ads,198879.22,-207.65,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-09,Mon,Google Search,24194.66,113927.82,4.71,288415,16303,92,57,5.65,1.48,262.99,1238.35,82,2023-01-09|Google Search,113956.85,-29.03,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-09,Mon,Google Display,58579.97,53635.82,0.92,1151699,51684,40,30,4.49,1.13,1464.5,1340.9,83,2023-01-09|Google Display,53893.57,-257.75,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-09,Mon,YouTube,407516.82,1217089.73,2.99,3071793,136430,1552,791,4.44,2.99,262.58,784.21,84,2023-01-09|YouTube,1218475.29,-1385.56,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-09,Mon,Instagram Reels,180059.8,824313.76,4.58,4791074,205426,697,529,4.29,0.88,258.34,1182.66,85,2023-01-09|Instagram Reels,824673.88,-360.12,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-09,Mon,Email,45410.08,465766.65,10.26,896355,43830,330,155,4.89,1.04,137.61,1411.41,86,2023-01-09|Email,465907.42,-140.77,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-09,Mon,SMS,10992.19,63022.62,5.73,154065,2748,55,28,1.78,4,199.86,1145.87,87,2023-01-09|SMS,62985.25,37.37,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-09,Mon,Influencer,428659.77,1920352.9,4.48,6767272,294323,1528,932,4.35,1.46,280.54,1256.78,88,2023-01-09|Influencer,1920395.77,-42.87,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-09,Mon,Affiliate,30916.62,230501.95,7.46,101427,4582,142,113,4.52,6.75,217.72,1623.25,89,2023-01-09|Affiliate,230637.99,-136.04,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-09,Mon,Organic Social,177585.2,1066558.95,6.01,1970713,54206,827,396,2.75,3.28,214.73,1289.67,90,2023-01-09|Organic Social,1067287.05,-728.10,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-10,Tue,Meta Ads,489252.18,415864.35,0.85,11645885,542728,208,106,4.66,0.9,2352.17,1999.35,91,2023-01-10|Meta Ads,415864.35,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-10,Tue,Google Search,470217.35,2083062.86,4.43,6812236,298928,2032,1097,4.39,1.57,231.41,1025.13,92,2023-01-10|Google Search,2083062.86,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-10,Tue,Google Display,134812.65,188737.71,1.4,2629536,31949,352,214,1.22,4.22,382.99,536.19,93,2023-01-10|Google Display,188737.71,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-10,Tue,YouTube,156040.75,271510.9,1.74,3470763,57069,162,127,1.64,2.73,963.21,1675.99,94,2023-01-10|YouTube,271510.91,-0.01,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-10,Tue,Instagram Reels,49225.62,164905.83,3.35,303699,17949,101,78,5.91,2.74,487.38,1632.73,95,2023-01-10|Instagram Reels,164905.83,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-10,Tue,Email,25115.73,266477.9,10.61,526847,8887,148,60,1.69,2.83,169.7,1800.53,96,2023-01-10|Email,266477.90,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-10,Tue,SMS,15098.51,68245.27,4.52,338839,6106,45,26,1.8,2.47,335.52,1516.56,97,2023-01-10|SMS,68245.27,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-10,Tue,Influencer,121625.64,546099.12,4.49,1865383,71818,652,404,3.85,1.69,186.54,837.58,98,2023-01-10|Influencer,546099.12,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
